flight_nbr,flight_origin,flight_destin
AC61,YYZ,ICN
AC859,LHR,YYZ
AC43,DEL,YYZ
AC9,YYZ,NRT
AC776,LAX,YUL
AC63,YVR,ICN
AC51,DEL,YUL
AC307,YUL,YVR
AC1330,LIR,YUL
AC585,EWR,YYC
AC1039,YYZ,DEN
AC998,PVR,YUL
AC116,YVR,YYZ
AC357,YOW,YYC
AC119,YYZ,YVR
AC1320,LIR,YYZ
AC765,YUL,SFO
AC1049,ORD,YVR
AC957,YYZ,SJO
AC791,YYZ,LAX
AC959,YUL,SJO
AC990,MEX,YYZ
AC3,YVR,NRT
AC1205,MIA,YYZ
AC1301,IAH,YVR
AC118,YVR,YYZ
AC741,YYZ,SFO
AC138,YYC,YYZ
AC987,CUN,YYC
AC694,YYZ,YYT
AC425,YUL,YYZ
AC418,YUL,N/A
AC80,YYZ,TLV
AC121,YYZ,YVR
AC57,DXB,YYZ
AC599,SNA,YVR
AC125,YYZ,YVR
AC8815,YUL,DFW
AC345,YOW,YVR
AC323,YYC,N/A
AC1088,YYZ,MCO
AC1237,PBI,YYZ
AC781,YUL,LAX
AC971,PVR,YVR
AC120,YVR,YYZ
AC527,YUL,SAN
AC549,EWR,YVR
AC555,LAX,YVR
AC337,YUL,YEG
AC543,YYZ,SEA
